,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('NFKB', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5576498928296217,0.0,0.1382167626127555,0.0,0.0,0.8598561192849908,0.949146982798387,1.0,-1.0,1.0,0.8598561192849908,0.949146982798387,0.766323327263233,-29.0,0.6910838130637778
"[('GSK3b', 1), ('NFKB', 1), ('TAK1', 0)]",1.0,0.4332465411518195,0.8664930823036391,0.0,0.6335069176963608,0.1335069176963609,0.5667534588481804,0.2002603765445413,0.1335069176963609,0.8663610451471024,0.8025942699281379,0.8664930823036391,-1.0,0.9332465411518196,0.8085284487722088,0.7490183263587046,0.580266059539533,-40.0,0.7329861646072782
"[('NFKB', 1), ('TAK1', 0), ('bcatenin', 1)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.6123724356957945,0.5106882308569511,0.2857142857142857,0.0,0.6428571428571428,0.3936679943758678,0.3282995769794685,0.0,-15.571428571428571,1.0
"[('MDM2', 1), ('NFKB', 1), ('TAK1', 0)]",0.9591249557011826,0.0,0.1320915649045247,0.0408750442988173,1.0,0.9297826204477332,1.0,1.0,0.9297826204477332,0.4391904563138051,0.2646270246410865,0.0293423352534493,0.0,0.5146711676267246,0.22603866496154,0.136195899757614,1.114843926874463,-21.0,0.6684286083263756
"[('NFKB', 1), ('SMAD23', 1), ('TAK1', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-25.8,1.0
"[('AP1', 1), ('NFKB', 1), ('TAK1', 0)]",0.2961149016985712,0.2888344705095713,0.2961149016985712,0.7038850983014288,0.9927195688110002,0.7038850983014288,1.0,0.9854391376220004,0.9854391376220004,0.4133508590231879,0.2235590055694117,-0.4077701966028575,0.0,0.2961149016985712,0.1223993489866712,0.0661991529580166,0.0760383082769948,-18.714285714285715,0.9854391376220004
"[('IKK', 1), ('NFKB', 1), ('TAK1', 0)]",1.0,0.2888226961621456,0.5776453923242912,0.0,0.8519621730630904,0.7039243461261809,0.7111773038378543,0.7039243461261809,0.8447092153514171,0.6177119001253804,0.5164790791034495,0.296075653873819,0.0,0.6480378269369096,0.4003006774303208,0.3346979800805756,0.0758066152579765,-17.0,0.9854940845766532
"[('ERK', 1), ('NFKB', 1), ('TAK1', 0)]",0.8067748060892794,0.0,0.8067748060892794,0.1932251939107206,1.0,1.0,0.0,1.0,1.0,0.3491547938395534,0.403169228424229,-0.1932251939107205,0.0,0.4033874030446397,0.140844645547524,0.1626333880415608,0.7885166154971556,-19.0,0.6756911589585144
"[('MEK', 1), ('NFKB', 1), ('TAK1', 0)]",0.7806617904039144,0.0052829647011832,0.7806617904039144,0.2193382095960857,0.9947170352988168,0.9894340705976334,0.0052829647011832,0.9894340705976334,0.9894340705976334,0.3448774455600764,0.3968917599620462,-0.208772280193719,0.0,0.3956138599031404,0.136438297431557,0.1570158811223358,0.8898219480244467,-17.0,0.6190024464526437
"[('GRB2SOS', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5901728574866855,0.0,0.1967242858288951,0.0,0.0,0.8684949577362984,0.941136775282828,1.0,-1.0,1.0,0.8684949577362984,0.941136775282828,0.0835888076103587,-29.4,0.9836214291444758
"[('GRB2SOS', 1), ('GSK3b', 1), ('TAK1', 0)]",1.0,0.4329512024006744,0.8659024048013488,0.0,0.634097595198651,0.134097595198651,0.5670487975993255,0.5670487975993255,0.134097595198651,0.8247938540655445,0.7639495923819837,0.865902404801349,-1.0,0.9329512024006744,0.7694924178831363,0.7127276907862768,0.581455460944612,-44.0,0.7318048096026978
"[('GRB2SOS', 1), ('TAK1', 0), ('bcatenin', 1)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.6123724356957945,0.5106882308569511,0.2857142857142857,0.0,0.6428571428571428,0.3936679943758678,0.3282995769794685,0.0,-23.857142857142858,1.0
"[('GRB2SOS', 1), ('MDM2', 1), ('TAK1', 0)]",0.9591755081833202,0.0,0.1339727241849781,0.0408244918166798,1.0,0.9277979586314886,1.0,1.0,0.9277979586314886,0.4398593022336171,0.26525417048272,0.0313775495518315,0.0,0.5156887747759158,0.2268305046426432,0.1367885981804358,1.123547855438611,-29.0,0.6653445169164167
"[('GRB2SOS', 1), ('SMAD23', 1), ('TAK1', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-29.8,1.0
"[('AP1', 1), ('GRB2SOS', 1), ('TAK1', 0)]",0.2968564333417143,0.2890569300025143,0.2968564333417143,0.7031435666582857,0.9922004966608,0.7031435666582857,1.0,0.9922004966608,0.9844009933216,0.4133578403986903,0.2237926354943425,-0.4062871333165713,0.0,0.2968564333417143,0.1227079341945887,0.0664342835809928,0.0803771212585584,-24.714285714285715,0.9844009933216
"[('GRB2SOS', 1), ('IKK', 1), ('TAK1', 0)]",1.0,0.2889437225825619,0.5778874451651239,0.0,0.8517604623623967,0.7035209247247934,0.711056277417438,0.711056277417438,0.8442251096697521,0.6171648438325876,0.5160735950151842,0.2964790752752065,0.0,0.6482395376376033,0.4000706530122203,0.3345393086196188,0.0781782136428929,-19.857142857142858,0.9849292946147108
"[('ERK', 1), ('GRB2SOS', 1), ('TAK1', 0)]",0.8056779065033127,0.0,0.8056779065033127,0.1943220934966872,1.0,1.0,0.0,1.0,1.0,0.3487817508297641,0.4027384754599867,-0.1943220934966872,0.0,0.4028389532516563,0.1405028754175422,0.1622387458884689,0.7912111361730028,-27.0,0.6747788429507348
"[('GRB2SOS', 1), ('MEK', 1), ('TAK1', 0)]",0.7803758611253228,0.0055683129677442,0.7803758611253228,0.2196241388746772,0.9944316870322558,0.9888633740645114,0.0055683129677442,0.9944316870322558,0.9888633740645114,0.3446672726250305,0.3965776402955899,-0.2084875129391886,0.0,0.3957562435304056,0.1364042250819523,0.156948077191535,0.8931947300614287,-25.0,0.6187192880174188
"[('GSK3b', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.1314758199886392,0.0,0.0,0.0,0.0,0.8635411308717884,0.997131408730282,1.0,-1.0,1.0,0.8635411308717884,0.997131408730282,0.5761216541379112,-67.0,0.7370483600227216
"[('TAK1', 0), ('bcatenin', 1), ('p53', 1)]",1.0,1.0,1.0,0.0,0.6,0.0,0.2,0.0,0.0,0.8677218312746247,0.9393364366277244,1.0,-1.0,1.0,0.8677218312746247,0.9393364366277244,0.0,-35.0,1.0
"[('MDM2', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5574920683813337,0.0,0.1384802094563376,0.0,0.0,0.8599416147636357,0.9491616762951974,1.0,-1.0,1.0,0.8599416147636357,0.9491616762951974,0.7664040300460951,-35.0,0.6924010472816879
"[('SMAD23', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.6,0.0,0.2,0.0,0.0,0.8677218312746247,0.9393364366277244,1.0,-1.0,1.0,0.8677218312746247,0.9393364366277244,0.7319623263321506,-29.8,0.6963425255810165
"[('AP1', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5573016059999214,0.0,0.7235690632321565,0.0,0.0,0.9508140465528728,0.884558985861924,1.0,-1.0,1.0,0.9508140465528728,0.884558985861924,0.7678292902522414,-31.8,0.6910773419196083
"[('IKK', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5576884824530812,0.0,0.138452099559551,0.0,0.0,0.8599066369858962,0.9491315704542892,1.0,-1.0,1.0,0.8599066369858962,0.9491315704542892,0.764832322564086,-27.0,0.6922604977977551
"[('ERK', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.8660254037844388,1.0,-1.0,1.0,0.75,0.8660254037844388,0.4619781251820717,-35.0,0.8465869761993504
"[('MEK', 1), ('TAK1', 0), ('p53', 1)]",1.0,1.0,1.0,0.0,0.9690054517887676,0.0,0.0,0.0,0.0,0.7557877285805028,0.8727084970923383,1.0,-1.0,1.0,0.7557877285805028,0.8727084970923383,0.8432401898532396,-33.0,0.6978418658666409
"[('GSK3b', 1), ('TAK1', 0), ('bcatenin', 1)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.6123724356957945,0.5106882308569511,0.2857142857142857,0.0,0.6428571428571428,0.3936679943758678,0.3282995769794685,0.0,-18.428571428571427,1.0
"[('GSK3b', 1), ('MDM2', 1), ('TAK1', 0)]",1.0,0.0,0.8665564898496887,0.0,1.0,0.1334435101503112,1.0,1.0,0.1334435101503112,0.6551185737495191,0.4925722193123641,0.8665564898496887,-1.0,0.9332782449248443,0.6114079127266184,0.4597069363385787,0.5801379572286942,-37.0,0.7331129796993775
"[('GSK3b', 1), ('SMAD23', 1), ('TAK1', 0)]",0.5980104329494345,0.0,0.5980104329494345,0.4019895670505656,1.0,0.7009947835252829,0.2,1.0,0.6000000000000001,0.3595784523818575,0.3557213026687031,-0.1029843505758484,0.0,0.4485078247120758,0.1612737494911216,0.159543787663686,1.107300662470874,-13.8,0.5662600092231586
"[('AP1', 1), ('GSK3b', 1), ('TAK1', 0)]",1.0,0.4337761737344824,0.8675523474689648,0.0,0.6324476525310352,0.1324476525310351,1.0,0.1986714787965527,0.1324476525310351,0.8931839000092974,0.7189523877372274,0.8675523474689648,-1.0,0.9337761737344824,0.8340338445919242,0.6713406097185382,0.5781152264698484,-40.0,0.7351046949379297
"[('GSK3b', 1), ('IKK', 1), ('TAK1', 0)]",1.0,0.4336098498616904,0.8672196997233809,0.0,0.6327803002766192,0.1327803002766192,0.5663901501383096,0.1991704504149288,0.1327803002766192,0.8666724062331599,0.8030596629666354,0.8672196997233808,-1.0,0.9336098498616904,0.8091338950626104,0.7497444113722602,0.5787931432044338,-40.0,0.7344393994467616
"[('ERK', 1), ('GSK3b', 1), ('TAK1', 0)]",0.8052925090835432,0.0,0.8052925090835432,0.1947074909164567,1.0,1.0,0.0,1.0,1.0,0.3486505809586179,0.4025870135391549,-0.1947074909164567,0.0,0.4026462545417716,0.1403828505668002,0.1621001531286982,0.7919621844949921,-19.0,0.6740558811986479
"[('GSK3b', 1), ('MEK', 1), ('TAK1', 0)]",0.7791203658176812,0.0393459902645294,0.722935514799882,0.2208796341823188,0.98874643524437,0.9213080194709412,0.0955308412823286,0.9494004449798408,0.9213080194709412,0.3749180829077366,0.4076531570886946,-0.14218765365326,0.0,0.42890617317337,0.1608046801934536,0.1748449555889546,1.226942347217886,-17.0,0.4930118497394041
"[('MDM2', 1), ('TAK1', 0), ('bcatenin', 1)]",0.9518174159548888,0.0,0.0846385153208995,0.048182584045111,1.0,1.0,1.0,1.0,1.0,0.4186503262397802,0.2460348495763268,-0.0481825840451111,0.0,0.4759087079774444,0.1992393358551094,0.1170901273792946,0.7528694866636654,-27.0,0.7343578012679789
"[('SMAD23', 1), ('TAK1', 0), ('bcatenin', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-27.8,1.0
"[('AP1', 1), ('TAK1', 0), ('bcatenin', 1)]",0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0,1.0,0.4046723241370487,0.2156655464068768,-0.4285714285714286,0.0,0.2857142857142857,0.1156206640391567,0.0616187275448219,0.0,-21.857142857142858,1.0
"[('IKK', 1), ('TAK1', 0), ('bcatenin', 1)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.6123724356957945,0.5106882308569511,0.2857142857142857,0.0,0.6428571428571428,0.3936679943758678,0.3282995769794685,0.0,-17.0,1.0
