,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('RAF', 0), ('THY1', 0)]",-0.25,0.125,0.4,-0.16666666666666666,0.0,0.02368421052631579,0.16666666666666666,0.0,0.25,0.0,0.5,-0.25,-0.041666666666666664,0.0,0.0,-0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.625,-0.16666666666666666,-0.125,0.3333333333333333,-0.375,-0.3,0.0,-1.0
"[('RAF', 0), ('p53', 0)]",-0.25,0.125,0.4,-0.16666666666666666,0.0,-0.007894736842105263,0.16666666666666666,0.0,0.25,0.0,0.5,-0.25,-0.041666666666666664,0.0,0.0,-0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.125,-0.16666666666666666,-0.125,0.3333333333333333,-0.375,-0.3,0.0,-1.0
"[('ERK', 0), ('Twist1', 1)]",-0.25,0.25,0.7,-0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.375,0.0,0.5,-0.5,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.3333333333333333,-0.375,-0.4,0.0,-1.0
"[('GLI', 1), ('MDM2', 0)]",0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
"[('Snail', 1), ('miR200', 1)]",-0.25,0.0,0.2,0.16666666666666666,-0.08333333333333333,-0.02631578947368421,0.0,0.0,0.0,0.0,0.5,0.0,-0.25,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,0.375,0.0,0.375,0.0,0.0,-1.0
"[('TGFb', 1), ('p53', 1)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('NOTCH', 0), ('SMAD4', 0)]",0.375,0.25,0.3,0.16666666666666666,-0.08333333333333333,0.12631578947368421,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,-0.16666666666666666,0.5,0.625,-0.16666666666666666,0.0,0.0,0.5,1.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.025,0.0,-1.0
"[('MDM2', 0), ('THY1', 1)]",0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
"[('IKK', 1), ('MDM2', 0)]",0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
"[('Ecadherin', 0), ('NFKB', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.05789473684210526,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,1.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
