,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('AKT', 1), ('MEK', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6567805703564268,0.2145436578731355,0.0,-1.0,1.0,0.0,0.0,0.0,0.9970874598044656,-63.0,0.450821933767038
"[('GLI', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-65.0,1.0
"[('SMAD4', 1), ('TAK1', 1), ('p38', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('RAF', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.1091089451179962,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-64.0,1.0
"[('NFKB', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GRB2SOS', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('SMAD4', 1), ('TAK1', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GSK3b', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('SMAD4', 1), ('TAK1', 1), ('bcatenin', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('MDM2', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.5254025198748673,0.5254025198748673,1.0,1.0,0.4745974801251327,0.0,1.0,0.0,0.2703330880631061,0.3121537623281943,-0.4745974801251327,0.0,0.2627012599374336,0.0710168428369551,0.0820031866578268,1.0306848803303528,-50.0,0.5090032431191344
"[('SMAD23', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('IKK', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('ERK', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5420983456846497,0.217311816930368,0.0,-1.0,1.0,0.0,0.0,0.0,1.0362381156272464,-52.0,0.4947766581719229
"[('MEK', 0), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6456074564818919,0.2148316399137743,0.0,-1.0,1.0,0.0,0.0,0.0,1.0081401450259309,-63.0,0.4379485090630279
"[('GLI', 1), ('TAK1', 1), ('p38', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GLI', 1), ('RAF', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.1091089451179962,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-64.0,1.0
"[('GLI', 1), ('NFKB', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GLI', 1), ('GRB2SOS', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GLI', 1), ('TAK1', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GLI', 1), ('GSK3b', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GLI', 1), ('TAK1', 1), ('bcatenin', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('GLI', 1), ('MDM2', 0), ('TAK1', 1)]",0.0,0.5549445323994562,0.5549445323994562,1.0,1.0,0.4450554676005437,0.0,1.0,0.0,0.284157525411549,0.3281168475772316,-0.4450554676005437,0.0,0.2774722661997281,0.0788458325336493,0.0910433252755652,1.0414941819718064,-50.0,0.4793541926569064
"[('GLI', 1), ('SMAD23', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('GLI', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('GLI', 1), ('IKK', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('ERK', 0), ('GLI', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5364862030739731,0.2174361639990115,0.0,-1.0,1.0,0.0,0.0,0.0,1.0378009873896887,-52.0,0.4950654642418431
"[('GLI', 1), ('MEK', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.652958367604081,0.2146425987698795,0.0,-1.0,1.0,0.0,0.0,0.0,1.0005039735590393,-63.0,0.4459397184840371
"[('RAF', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.1091089451179962,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-64.0,1.0
"[('NFKB', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GRB2SOS', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('TAK1', 1), ('p38', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GSK3b', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
